"","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"bio_1",1,0.962962953266151,0.962044445839156,-0.173172226749093,-0.175936722739644,-0.187052041675007,0.0222065327428314,-0.154646397897875,-0.172870501583517,-0.384701667531447,-0.119844837018046,0.607630826695305,0.786590007550053,-0.248025082398882,0.927023647252806,0.923968853863875,0.0268242487905278,0.515248567683292,0.73851581747627
"bio_10",0.962962953266151,1,0.856510530902014,-0.323542844100692,-0.286753164714125,-0.343725351267145,0.117251123194757,-0.277339806989124,-0.332141693000483,-0.449069439119998,-0.275379959559576,0.723442754578232,0.702900643151343,0.0191446287456525,0.986762805323308,0.793310822827384,0.283150138225686,0.620221624779297,0.640480590300171
"bio_11",0.962044445839156,0.856510530902014,1,-0.0235049607403116,-0.0654361354051514,-0.0386510161371874,-0.0665100677752307,-0.0359481307473972,-0.020234789208253,-0.336027795500923,0.0493101799174226,0.447149012483785,0.808925752641941,-0.499213081132385,0.803976836677721,0.98832479172912,-0.22704597410948,0.347531862523676,0.811748620097544
"bio_12",-0.173172226749093,-0.323542844100692,-0.0235049607403116,1,0.955315846777138,0.864889309672056,-0.155184911365783,0.965592776346441,0.89661570152888,0.715280865789553,0.91846987133897,-0.544102314615602,-0.183889329450624,-0.49868308628706,-0.395968805259953,0.0569435388870966,-0.615967943025513,-0.467347364912326,0.0210600315480457
"bio_13",-0.175936722739644,-0.286753164714125,-0.0654361354051514,0.955315846777138,1,0.73184858660661,0.0980431029863333,0.994071427511839,0.763475048114232,0.702825960106973,0.876497632081419,-0.465975071066114,-0.213309124402376,-0.354341702250741,-0.350564744509297,-0.00472022191166155,-0.471536173160808,-0.384848638157193,-0.011943700921038
"bio_14",-0.187052041675007,-0.343725351267145,-0.0386510161371874,0.864889309672056,0.73184858660661,1,-0.528974676499791,0.744644833919554,0.985367187143638,0.740936367431536,0.727421675105473,-0.546295079112906,-0.157328061167456,-0.506370539076177,-0.415465332453503,0.0496632225541708,-0.632798401180706,-0.381451135452223,-0.0780015195998269
"bio_15",0.0222065327428314,0.117251123194757,-0.0665100677752307,-0.155184911365783,0.0980431029863333,-0.528974676499791,1,0.0766484201860186,-0.517009532939719,-0.142830437392945,-0.10543134567971,0.217602092585771,-0.0396396573227717,0.332761941715431,0.139098549481603,-0.123556394237031,0.354994550199722,0.172158369624206,0.00317725809794533
"bio_16",-0.154646397897875,-0.277339806989124,-0.0359481307473972,0.965592776346441,0.994071427511839,0.744644833919554,0.0766484201860186,1,0.776212567548817,0.713367865763732,0.883421185388087,-0.467282816299589,-0.183371516437017,-0.395814996369632,-0.343391120589872,0.0290666489627121,-0.506984050280856,-0.383751415671001,0.00267600287209162
"bio_17",-0.172870501583517,-0.332141693000483,-0.020234789208253,0.89661570152888,0.763475048114232,0.985367187143638,-0.517009532939719,0.776212567548817,1,0.730031740719361,0.766053467188408,-0.538741326703619,-0.146414789764518,-0.521766595948486,-0.402531293959345,0.0670309652361584,-0.638416037521507,-0.41952123776625,-0.0360548172864652
"bio_18",-0.384701667531447,-0.449069439119998,-0.336027795500923,0.715280865789553,0.702825960106973,0.740936367431536,-0.142830437392945,0.713367865763732,0.730031740719361,1,0.422873280599639,-0.448316215706794,-0.33276450270945,-0.108556948374944,-0.497206779466686,-0.279571876926831,-0.303514451290076,-0.0911010578638799,-0.510331219715125
"bio_19",-0.119844837018046,-0.275379959559576,0.0493101799174226,0.91846987133897,0.876497632081419,0.727421675105473,-0.10543134567971,0.883421185388087,0.766053467188408,0.422873280599639,1,-0.538411070541922,-0.148808383549544,-0.557695203292017,-0.342205124718405,0.13084091059071,-0.641599835259711,-0.607466255245541,0.230844406788321
"bio_2",0.607630826695305,0.723442754578232,0.447149012483785,-0.544102314615602,-0.465975071066114,-0.546295079112906,0.217602092585771,-0.467282816299589,-0.538741326703619,-0.448316215706794,-0.538411070541922,1,0.710845556893069,0.348138081240584,0.814014641137255,0.321284490192674,0.679519577704389,0.602984921715962,0.347910234997499
"bio_3",0.786590007550053,0.702900643151343,0.808925752641941,-0.183889329450624,-0.213309124402376,-0.157328061167456,-0.0396396573227717,-0.183371516437017,-0.146414789764518,-0.33276450270945,-0.148808383549544,0.710845556893069,1,-0.389605490778943,0.721684236155738,0.749101810840994,-0.0190012151008273,0.376306770165906,0.666464752244145
"bio_4",-0.248025082398882,0.0191446287456525,-0.499213081132385,-0.49868308628706,-0.354341702250741,-0.506370539076177,0.332761941715431,-0.395814996369632,-0.521766595948486,-0.108556948374944,-0.557695203292017,0.348138081240584,-0.389605490778943,1,0.099492168561488,-0.583271028565273,0.916369331705211,0.363091857331988,-0.491296097388314
"bio_5",0.927023647252806,0.986762805323308,0.803976836677721,-0.395968805259953,-0.350564744509297,-0.415465332453503,0.139098549481603,-0.343391120589872,-0.402531293959345,-0.497206779466686,-0.342205124718405,0.814014641137255,0.721684236155738,0.099492168561488,1,0.726133611697241,0.391115439022431,0.627832461202683,0.621981628285575
"bio_6",0.923968853863875,0.793310822827384,0.98832479172912,0.0569435388870966,-0.00472022191166155,0.0496632225541708,-0.123556394237031,0.0290666489627121,0.0670309652361584,-0.279571876926831,0.13084091059071,0.321284490192674,0.749101810840994,-0.583271028565273,0.726133611697241,1,-0.348782150447701,0.278094499342757,0.798300522377513
"bio_7",0.0268242487905278,0.283150138225686,-0.22704597410948,-0.615967943025513,-0.471536173160808,-0.632798401180706,0.354994550199722,-0.506984050280856,-0.638416037521507,-0.303514451290076,-0.641599835259711,0.679519577704389,-0.0190012151008273,0.916369331705211,0.391115439022431,-0.348782150447701,1,0.483547800436109,-0.220761896822805
"bio_8",0.515248567683292,0.620221624779297,0.347531862523676,-0.467347364912326,-0.384848638157193,-0.381451135452223,0.172158369624206,-0.383751415671001,-0.41952123776625,-0.0911010578638799,-0.607466255245541,0.602984921715962,0.376306770165906,0.363091857331988,0.627832461202683,0.278094499342757,0.483547800436109,1,-0.031319759482167
"bio_9",0.73851581747627,0.640480590300171,0.811748620097544,0.0210600315480457,-0.011943700921038,-0.0780015195998269,0.00317725809794533,0.00267600287209162,-0.0360548172864652,-0.510331219715125,0.230844406788321,0.347910234997499,0.666464752244145,-0.491296097388314,0.621981628285575,0.798300522377513,-0.220761896822805,-0.031319759482167,1
